,Company,revenues,rev_perc_change,profit,prof_perc_change,assets,market_value,rank_change1000,employees,rank_change500,CEO,CEO Title,Sector,Industry_x,HQ Location,Website,Years on Fortune 500 List,Employees,Revenues ($M),Revenues ($M)Growth,Profits ($M),Profits ($M)Growth,Assets ($M),Assets ($M)Growth,Total Stockholder Equity ($M),Total Stockholder Equity ($M)Growth,Profit as % of Revenues,Profits as % of Assets,Profits as % of Stockholder Equity,Earnings Per Share ($),EPS % Change (from 2017),EPS % Change (5 year annual rate),EPS % Change (10 year annual rate),Total Return to Investors (2018),"Total Return to Investors (5 year, annualized)","Total Return to Investors (10 year, annualized)",Unnamed: 0_y,Market Cap,Industry_y,No_Directors,Median_age,Board_Independance,Median_Tenure,Median_pay,women_on_board,GD_CEO,GD_Approval,GD CEO Rank,HBR CEO Rank,HBR_CEO,HBR_Industry,HBR_Country,HBR_YearStarted,HBR_Insider,HBR_MBA,HBR_finrank,HBR_sustainalytics,HBR_csrhub
569,carlisle,"$4,549.0",11.2%,$611.1,67.2%,"$5,249.2","$7,013.7",25,"13,950",-,D. Christian Koch,"President, Chief Executive Officer &amp; Director",Materials,"Building Materials, Glass","Scottsdale, Ariz.",,-,"13,950","$4,549.0",11.2%,$611.1,67.2%,"$5,249.2",-,"$2,597.4",-,13.4%,11.6%,23.5%,10.02,75.5%,25.5%,27.1%,-10.3%,6.2%,18.9%,,,,,,,,,,,,,,,,,,,,,,
570,kbhome,"$4,547.0",4.1%,$170.4,-5.7%,"$5,073.6","$2,101.0",-1,"2,005",-,Jeffrey T. Mezger,"Chairman, President &amp; Chief Executive Officer",Engineering &amp; Construction,Homebuilders,"Los Angeles, Calif.",,-,"2,005","$4,547.0",4.1%,$170.4,-5.7%,"$5,073.6",-,"$2,087.5",-,3.7%,3.4%,8.2%,1.71,-7.6%,30.0%,-,-40.0%,1.5%,4.6%,,,,,,,,,,,,,,,,,,,,,,
571,watsco,"$4,546.7",4.7%,$242.9,16.7%,"$2,161.0","$5,381.1",3,"5,200",-,Albert H. Nahmad,Chairman &amp; Chief Executive Officer,Wholesalers,,"Miami, Fla.",,-,"5,200","$4,546.7",4.7%,$242.9,16.7%,"$2,161.0",-,"$1,347.8",-,5.3%,11.2%,18.0%,6.49,11.7%,12.0%,11.5%,-15.4%,10.6%,18.0%,,,,,,,,,,,,,,,,,,,,,,
572,brookdaleseniorliving,"$4,531.4",-4.5%,$-528.3,-,"$6,467.3","$1,227.8",-30,"54,300",-,Lucinda M. Baier,"President, Chief Executive Officer &amp; Director",Health Care,,"Brentwood, Tenn.",,-,"54,300","$4,531.4",-4.5%,$-528.3,-,"$6,467.3",-,"$1,018.9",-,-11.7%,-8.2%,-51.8%,-2.82,-,-,-,-30.9%,-24.4%,1.8%,,,,,,,,,,,,,,,,,,,,,,
573,mduresourcesgroup,"$4,531.1",2.0%,$272.3,-3.2%,"$6,988.1","$5,077.3",-14,"11,797",-,David L. Goodin,"President, Chief Executive Officer &amp; Director",Energy,Energy,"Bismarck, N.D.",,-,"11,797","$4,531.1",2.0%,$272.3,-3.2%,"$6,988.1",-,"$2,566.8",-,6.0%,3.9%,10.6%,1.39,-2.8%,-1.1%,-1.3%,-8.7%,-1.9%,4.1%,,,,,,,,,,,,,,,,,,,,,,
574,mattel,"$4,510.9",-7.6%,$-531.0,-,"$5,243.5","$4,490.2",-42,"27,000",-,Ynon Kreiz,Chairman &amp; Chief Executive Officer,Household Products,"Toys, Sporting Goods","El Segundo, Calif.",,-,"27,000","$4,510.9",-7.6%,$-531.0,-,"$5,243.5",-,$669.5,-,-11.8%,-10.1%,-79.3%,-1.54,-,-,-,-35.0%,-23.9%,-1.0%,200.0,8341.0,Consumer Discretionary,10.0,57.5,0.9,8.5,266323.0,0.3,,,,,,,,,,,,,
575,universalforestproducts,"$4,489.2",13.9%,$148.6,24.3%,"$1,647.5","$1,833.2",34,"12,000",-,Matthew J. Missad,Chief Executive Officer &amp; Director,Materials,"Building Materials, Glass","Grand Rapids, Mich.",,-,"12,000","$4,489.2",13.9%,$148.6,24.3%,"$1,647.5",-,"$1,073.4",-,3.3%,9.0%,13.8%,2.4,23.7%,27.3%,41.1%,-30.2%,9.6%,12.4%,,,,,,,,,,,,,,,,,,,,,,
576,hubbell,"$4,481.7",22.2%,$360.2,48.2%,"$4,872.1","$6,430.5",55,"19,700",-,David G. Nord,"Chairman, President &amp; Chief Executive Officer",Industrials,"Electronics, Electrical Equip.","Shelton, Conn.",,-,"19,700","$4,481.7",22.2%,$360.2,48.2%,"$4,872.1",-,"$1,780.6",-,8.0%,7.4%,20.2%,6.54,49.0%,3.6%,5.2%,-24.6%,0.5%,14.7%,,,,,,,,,,,,,,,,,,,,,,
577,caciinternational,"$4,467.9",2.6%,$301.2,84.0%,"$4,034.2","$4,525.5",-4,"18,800",-,Kenneth Asbury,"President, Chief Executive Officer &amp; Director",Technology,Information Technology Services,"Arlington, Va.",,-,"18,800","$4,467.9",2.6%,$301.2,84.0%,"$4,034.2",-,"$2,106.8",-,6.7%,7.5%,14.3%,11.93,82.7%,13.4%,15.9%,8.8%,14.5%,12.3%,,,,,,,,,,,,,,,,,,,,,,
578,tutorperini,"$4,454.7",-6.4%,$83.4,-43.8%,"$4,387.8",$857.8,-37,"8,200",-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
579,hyatthotels,"$4,454.0",-4.9%,$769.0,208.8%,"$7,643.0","$7,691.4",-31,"54,000",-,Mark S. Hoplamazian,"President, Chief Executive Officer &amp; Director","Hotels, Restaurants &amp; Leisure","Hotels, Casinos, Resorts","Chicago, Ill.",,-,"54,000","$4,454.0",-4.9%,$769.0,208.8%,"$7,643.0",-,"$3,670.0",-,17.3%,10.1%,21.0%,6.68,239.1%,38.7%,-,-7.3%,6.6%,-,,,,,,,,,,,,,,,,,,,,,,
580,silganholdings,"$4,448.9",8.8%,$224.0,-16.9%,"$4,579.3","$3,272.0",15,"13,220",-,Anthony J. Allott,"President, Chief Executive Officer &amp; Director",Materials,"Packaging, Containers","Stamford, Conn.",,-,"13,220","$4,448.9",8.8%,$224.0,-16.9%,"$4,579.3",-,$881.3,-,5.0%,4.9%,25.4%,2.01,-16.9%,7.0%,8.9%,-18.4%,1.0%,8.4%,,,,,,,,,,,,,,,,,,,,,,
581,moody's,"$4,442.7",5.7%,"$1,309.6",30.9%,"$9,526.2","$34,191.6",3,"13,057",-,Raymond W. McDaniel Jr.,"President, Chief Executive Officer &amp; Director",Business Services,Financial Data Services,"New York, N.Y.",,-,"13,057","$4,442.7",5.7%,"$1,309.6",30.9%,"$9,526.2",-,$459.9,-,29.5%,13.7%,284.8%,6.74,30.9%,13.4%,13.7%,-4.1%,13.7%,23.2%,284.0,19260.0,Financials,9.0,63.0,0.89,11.0,245020.0,0.22,,,,,,,,,,,,,
582,tiffany,"$4,442.1",6.5%,$586.4,58.4%,"$5,333.0","$12,819.5",7,"14,200",-,Alessandro Bogliolo,Chief Executive Officer &amp; Director,Retailing,,"New York, N.Y.",,-,"14,200","$4,442.1",6.5%,$586.4,58.4%,"$5,333.0",-,"$3,117.4",-,13.2%,11.0%,18.8%,4.75,60.5%,27.5%,10.6%,-21.0%,-0.8%,15.3%,288.0,10630.0,Consumer Discretionary,10.0,66.0,0.6,11.0,244707.0,0.2,,,,,,,,,,,,,
583,cfindustriesholdings,"$4,428.9",7.2%,$289.8,-19.0%,"$12,661.3","$9,091.6",10,"3,055",-,W. Anthony Will,"President, Chief Executive Officer &amp; Director",Chemicals,Chemicals,"Deerfield, Ill.",,-,"3,055","$4,428.9",7.2%,$289.8,-19.0%,"$12,661.3",-,"$2,957.8",-,6.5%,2.3%,9.8%,1.24,-19.0%,-24.2%,-6.5%,5.1%,1.6%,18.2%,339.0,11833.0,Materials,10.0,64.5,0.7,6.5,232338.0,0.1,,,,,,,,,,,,,
584,hubgroup,"$4,423.1",9.6%,$201.7,49.3%,"$1,924.9","$1,420.5",14,"5,400",-,David P. Yeager,Chairman &amp; Chief Executive Officer,Transportation,Transportation and Logistics,"Oak Brook, Ill.",,-,"5,400","$4,423.1",9.6%,$201.7,49.3%,"$1,924.9",-,$980.8,-,4.6%,10.5%,20.6%,6.01,48.4%,26.3%,14.3%,-22.6%,-1.5%,3.4%,,,,,,,,,,,,,,,,,,,,,,
585,ryersonholding,"$4,408.4",31.0%,$106.0,519.9%,"$2,086.3",$320.5,100,"4,600",-,Edward J. Lehner,"President, Chief Executive Officer &amp; Director",Materials,Metals,"Chicago, Ill.",,-,"4,600","$4,408.4",31.0%,$106.0,519.9%,"$2,086.3",-,$73.2,-,2.4%,5.1%,144.8%,2.81,510.9%,-,-,-39.0%,-,-,,,,,,,,,,,,,,,,,,,,,,
586,syneoshealth,"$4,390.1",64.3%,$24.3,-,"$7,254.9","$5,367.5",209,"24,000",-,Alistair Macdonald,Chief Executive Officer &amp; Director,Health Care,,"Morrisville, N.C.",,-,"24,000","$4,390.1",64.3%,$24.3,-,"$7,254.9",-,"$2,856.1",-,0.6%,0.3%,0.9%,0.23,-,-,-,-9.7%,-,-,,,,,,,,,,,,,,,,,,,,,,
587,vulcanmaterials,"$4,382.9",12.7%,$515.8,-14.2%,"$9,832.1","$15,636.9",27,"8,782",-,J. Thomas Hill,"Chairman, President &amp; Chief Executive Officer",Materials,"Building Materials, Glass","Birmingham, Ala.",,-,"8,782","$4,382.9",12.7%,$515.8,-14.2%,"$9,832.1",-,"$5,202.9",-,11.8%,5.2%,9.9%,3.85,-13.7%,82.5%,-,-22.3%,11.4%,4.7%,383.0,12863.0,Materials,13.0,60.0,0.77,2.0,218373.0,0.23,,,,,,,,,,,,,
588,westinghouseairbrake,"$4,363.5",12.4%,$294.9,12.5%,"$8,649.2","$11,971.8",28,"18,000",-,Raymond T. Betler,"President, Chief Executive Officer &amp; Director",Industrials,Industrial Machinery,"Wilmerding, Pa.",,-,"18,000","$4,363.5",12.4%,$294.9,12.5%,"$8,649.2",-,"$2,865.1",-,6.8%,3.4%,10.3%,3.05,12.1%,0.3%,8.6%,-13.3%,-0.7%,13.8%,,,,,,,,,,,,,,,,,,,,,,
589,jeld-wenholding,"$4,346.7",15.5%,$144.4,1237.8%,"$3,051.1","$1,781.1",35,"23,000",-,Gary S. Michel,"President, Chief Executive Officer &amp; Director",Materials,"Building Materials, Glass","Charlotte, N.C.",,-,"23,000","$4,346.7",15.5%,$144.4,1237.8%,"$3,051.1",-,$767.8,-,3.3%,4.7%,18.8%,1.36,42400.0%,-,-,-63.9%,-,-,,,,,,,,,,,,,,,,,,,,,,
590,broadridgefinancialsolutions,"$4,329.9",4.5%,$427.9,30.9%,"$3,304.7","$11,994.9",1,"10,000",-,Timothy Gokey,"President, Chief Executive Officer &amp; Director",Business Services,Financial Data Services,"Lake Success, N.Y.",,-,"10,000","$4,329.9",4.5%,$427.9,30.9%,"$3,304.7",-,"$1,094.3",-,9.9%,12.9%,39.1%,3.56,31.9%,16.1%,10.1%,7.8%,21.8%,25.4%,,,,,,,,,,,,,,,,,,,,,,
591,amkortechnology,"$4,316.5",3.1%,$127.1,-51.3%,"$4,495.4","$2,045.9",-5,"30,850",-,Stephen D. Kelley,"President, Chief Executive Officer &amp; Director",Technology,Semiconductors and Other Electronic Components,"Tempe, Ariz.",,-,"30,850","$4,316.5",3.1%,$127.1,-51.3%,"$4,495.4",-,"$1,830.5",-,2.9%,2.8%,6.9%,0.53,-51.4%,1.2%,-,-34.7%,1.4%,11.6%,,,,,,,,,,,,,,,,,,,,,,
592,cnofinancialgroup,"$4,313.5",0.4%,$-315.0,-279.4%,"$31,439.8","$2,608.8",-13,"3,300",-,Gary C. Bhojwani,Chief Executive Officer &amp; Director,Financials,,"Carmel, Ind.",,-,"3,300","$4,313.5",0.4%,$-315.0,-279.4%,"$31,439.8",-,"$3,370.9",-,-7.3%,-1.0%,-9.3%,-1.9,-286.3%,-,-,-38.4%,-1.8%,12.2%,,,,,,,,,,,,,,,,,,,,,,
593,cmegroup,"$4,309.4",18.2%,"$1,962.2",-51.7%,"$77,475.7","$58,893.1",47,"4,590",-,Terrence A. Duffy,Chairman &amp; Chief Executive Officer,Financials,Securities,"Chicago, Ill.",,-,"4,590","$4,309.4",18.2%,"$1,962.2",-51.7%,"$77,475.7",-,"$25,918.5",-,45.5%,2.5%,7.6%,5.71,-52.2%,14.4%,8.9%,33.9%,25.1%,20.9%,460.0,31908.0,Financials,24.0,61.5,0.75,11.0,178519.0,0.13,,,,,,,,,,,,,
594,globelife,"$4,303.8",3.6%,$701.5,-51.8%,"$23,095.7","$9,040.2",-4,"3,102",-,,Co-Chairman &amp; Co-Chief Executive Officer,Financials,,"McKinney, Texas",,-,"3,102","$4,303.8",3.6%,$701.5,-51.8%,"$23,095.7",-,"$5,415.2",-,16.3%,3.0%,13.0%,6.09,-50.2%,10.0%,10.4%,-17.2%,8.4%,15.3%,,,,,,,,,,,,,,,,,,,,,,
595,encompasshealth,"$4,277.3",7.7%,$292.3,14.0%,"$5,175.0","$5,766.6",10,"33,050",-,Mark J. Tarr,"President, Chief Executive Officer &amp; Director",Health Care,,"Birmingham, Ala.",,-,"33,050","$4,277.3",7.7%,$292.3,14.0%,"$5,175.0",-,"$1,276.7",-,6.8%,5.6%,22.9%,2.93,8.9%,2.6%,1.1%,26.9%,15.5%,20.2%,,,,,,,,,,,,,,,,,,,,,,
596,nasdaq,"$4,277.0",7.9%,$458.0,-37.6%,"$15,700.0","$14,472.3",11,"4,099",-,Adena T. Friedman,"President, Chief Executive Officer &amp; Director",Financials,Securities,"New York, N.Y.",,-,"4,099","$4,277.0",7.9%,$458.0,-37.6%,"$15,700.0",-,"$5,449.0",-,10.7%,2.9%,8.4%,2.73,-37.0%,3.9%,5.6%,8.3%,17.5%,14.1%,326.0,9779.0,Financials,11.0,58.0,0.91,7.0,235317.0,0.18,,,,,,,,,,,,,
597,evergy,"$4,275.9",66.3%,$535.8,65.4%,"$25,598.1","$14,668.8",219,"4,832",-,Terry D. Bassham,"Chairman, President &amp; Chief Executive Officer",Energy,,"Kansas City, Mo.",,-,"4,832","$4,275.9",66.3%,$535.8,65.4%,"$25,598.1",-,"$10,028.2",-,12.5%,2.1%,5.3%,2.5,10.1%,1.9%,3.9%,11.8%,16.0%,15.6%,,,,,,,,,,,,,,,,,,,,,,
598,leggett&platt,"$4,269.5",8.3%,$305.9,4.5%,"$3,382.0","$5,540.2",10,"22,000",-,Karl G. Glassman,"President, Chief Executive Officer &amp; Director",Household Products,"Home Equipment, Furnishings","Carthage, Mo.",,-,"22,000","$4,269.5",8.3%,$305.9,4.5%,"$3,382.0",-,"$1,157.0",-,7.2%,9.0%,26.4%,2.26,6.1%,11.0%,13.8%,-22.4%,6.2%,13.4%,380.0,6128.0,Consumer Discretionary,11.0,62.0,0.73,10.0,219630.0,0.18,,,,,,,,,,,,,
599,iac/interactivecorp,"$4,262.9",28.9%,$627.0,105.6%,"$6,874.6","$17,602.1",98,"7,800",-,Joseph M. Levin,Chief Executive Officer &amp; Director,Technology,Internet Services and Retailing,"New York, N.Y.",,-,"7,800","$4,262.9",28.9%,$627.0,105.6%,"$6,874.6",-,"$2,843.1",-,14.7%,9.1%,22.1%,6.59,107.2%,14.9%,-,49.7%,22.6%,28.8%,,,,,,,,,,,,,,,,,,,,,,
600,martinmariettamaterials,"$4,244.3",7.0%,$470.0,-34.1%,"$9,551.4","$12,559.8",6,"8,714",-,C. Howard Nye,"Chairman, President &amp; Chief Executive Officer",Materials,"Building Materials, Glass","Raleigh, N.C.",,-,"8,714","$4,244.3",7.0%,$470.0,-34.1%,"$9,551.4",-,"$4,946.4",-,11.1%,4.9%,9.5%,7.43,-34.0%,23.3%,5.9%,-21.5%,12.6%,7.4%,372.0,10395.0,Materials,10.0,68.5,0.7,12.5,222132.0,0.2,,,,,,,,,,,,,
601,ca,"$4,235.0",4.9%,$476.0,-38.6%,"$13,060.0",-,-4,"11,300",-,Hock E. Tan,"President, Chief Executive Officer &amp; Director",Technology,Computer Software,"New York, N.Y.",,-,"11,300","$4,235.0",4.9%,$476.0,-38.6%,"$13,060.0",-,"$5,895.0",-,11.2%,3.6%,8.1%,1.13,-38.9%,-11.4%,2.0%,-,-,-,44.0,12157.0,Information Technology,12.0,62.0,0.92,7.0,349000.0,0.17,,,,,,,,,,,,,
602,onemainholdings,"$4,232.0",12.7%,$447.0,144.3%,"$20,090.0","$4,317.7",23,"10,200",-,Douglas H. Shulman,"President, Chief Executive Officer &amp; Director",Financials,Diversified Financials,"Evansville, Ind.",,-,"10,200","$4,232.0",12.7%,$447.0,144.3%,"$20,090.0",-,"$3,799.0",-,10.6%,2.2%,11.8%,3.29,143.7%,-,-,-6.5%,-0.8%,-,,,,,,,,,,,,,,,,,,,,,,
603,taylormorrisonhome,"$4,227.4",8.8%,$206.4,126.2%,"$5,264.4","$1,951.0",12,"2,300",-,Sheryl D. Palmer,"Chairman, President &amp; Chief Executive Officer",Engineering &amp; Construction,Homebuilders,"Scottsdale, Ariz.",,-,"2,300","$4,227.4",8.8%,$206.4,126.2%,"$5,264.4",-,"$2,415.2",-,4.9%,3.9%,8.5%,1.83,24.5%,5.8%,-,-35.0%,-6.7%,-,,,,,,,,,,,,,,,,,,,,,,
604,ironmountain,"$4,225.8",9.9%,$363.4,97.7%,"$11,852.2","$10,154.5",14,"26,200",-,William L. Meaney,"President, Chief Executive Officer &amp; Director",Business Services,Diversified Outsourcing Services,"Boston, Mass.",,-,"26,200","$4,225.8",9.9%,$363.4,97.7%,"$11,852.2",-,"$1,884.2",-,8.6%,3.1%,19.3%,1.27,84.1%,20.0%,12.2%,-8.1%,9.5%,9.2%,382.0,6467.0,Financials,10.0,59.5,0.8,4.5,218489.0,0.2,,,,,,,,,,,,,
605,laureateeducation,"$4,219.9",-3.6%,$370.1,304.6%,"$6,769.6","$3,358.0",-38,"49,500",-,Eilif Serck-Hanssen,Chief Executive Officer &amp; Director,Business Services,Education,"Baltimore, Md.",,-,"49,500","$4,219.9",-3.6%,$370.1,304.6%,"$6,769.6",-,"$2,061.1",-,8.8%,5.5%,18.0%,1.73,-,-,-,12.4%,-,-,,,,,,,,,,,,,,,,,,,,,,
606,zebratechnologies,"$4,218.0",13.3%,$421.0,2376.5%,"$4,339.0","$11,287.5",21,"7,400",-,Anders Gustafsson,Chief Executive Officer &amp; Director,Industrials,"Electronics, Electrical Equip.","Lincolnshire, Ill.",,-,"7,400","$4,218.0",13.3%,$421.0,2376.5%,"$4,339.0",-,"$1,335.0",-,10.0%,9.7%,31.5%,7.76,2325.0%,24.2%,-,53.4%,24.1%,22.9%,,,,,,,,,,,,,,,,,,,,,,
607,quad/graphics,"$4,193.7",1.5%,$8.5,-92.1%,"$2,469.1",$610.7,-15,"20,600",-,J. Joel Quadracci,"Chairman, President &amp; Chief Executive Officer",Media,"Publishing, Printing","Sussex, Wis.",,-,"20,600","$4,193.7",1.5%,$8.5,-92.1%,"$2,469.1",-,$442.5,-,0.2%,0.3%,1.9%,0.16,-92.3%,-24.4%,-,-42.1%,-9.2%,-,,,,,,,,,,,,,,,,,,,,,,
608,meritor,"$4,178.0",24.8%,$117.0,-63.9%,"$2,726.0","$1,696.9",83,"8,600",-,Jeffrey A. Craig,"President, Chief Executive Officer &amp; Director",Motor Vehicles &amp; Parts,Motor Vehicles and Parts,"Troy, Mich.",,-,"8,600","$4,178.0",24.8%,$117.0,-63.9%,"$2,726.0",-,$287.0,-,2.8%,4.3%,40.8%,1.28,-64.3%,-,-,-27.9%,10.1%,19.5%,,,,,,,,,,,,,,,,,,,,,,
609,mrcglobal,"$4,172.0",14.4%,$74.0,48.0%,"$2,434.0","$1,477.2",30,"3,773",-,Andrew R. Lane,"President, Chief Executive Officer &amp; Director",Energy,"Oil and Gas Equipment, Services","Houston, Texas",,-,"3,773","$4,172.0",14.4%,$74.0,48.0%,"$2,434.0",-,"$1,047.0",-,1.8%,3.0%,7.1%,0.54,100.0%,-18.3%,-,-27.7%,-17.6%,-,,,,,,,,,,,,,,,,,,,,,,
610,conchoresources,"$4,151.0",60.5%,"$2,286.0",139.1%,"$26,294.0","$22,257.9",202,"1,503",-,Timothy A. Leach,Chairman &amp; Chief Executive Officer,Energy,"Mining, Crude-Oil Production","Midland, Texas",,-,"1,503","$4,151.0",60.5%,"$2,286.0",139.1%,"$26,294.0",-,"$18,768.0",-,55.1%,8.7%,12.2%,13.25,106.7%,40.9%,14.4%,-31.6%,-1.0%,16.2%,,,,,,,,,,,,,,,,,,,,,,
611,church&dwight,"$4,145.9",9.8%,$568.6,-23.5%,"$6,069.2","$17,517.8",11,"4,700",-,Matthew T. Farrell,"President, Chief Executive Officer &amp; Director",Household Products,Household and Personal Products,"Ewing, N.J.",,-,"4,700","$4,145.9",9.8%,$568.6,-23.5%,"$6,069.2",-,"$2,453.8",-,13.7%,9.4%,23.2%,2.27,-21.7%,10.2%,12.6%,33.2%,16.5%,18.5%,,,,,,,,,,,,,,,,,,,,,,
612,anteroresources,"$4,139.6",13.2%,$-397.5,-164.6%,"$15,519.5","$2,725.4",23,623,-,Paul M. Rady,Chairman &amp; Chief Executive Officer,Energy,"Mining, Crude-Oil Production","Denver, Colo.",,-,623,"$4,139.6",13.2%,$-397.5,-164.6%,"$15,519.5",-,"$7,665.8",-,-9.6%,-2.6%,-5.2%,-1.26,-164.9%,-,-,-50.6%,-31.8%,-,,,,,,,,,,,,,,,,,,,,,,
613,alexionpharmaceuticals,"$4,131.2",16.3%,$77.6,-82.5%,"$13,931.9","$30,320.9",42,"2,656",-,Ludwig N. Hantson Ph.D.,Chief Executive Officer &amp; Director,Health Care,Pharmaceuticals,"Boston, Mass.",,-,"2,656","$4,131.2",16.3%,$77.6,-82.5%,"$13,931.9",-,"$9,165.3",-,1.9%,0.6%,0.8%,0.35,-82.2%,-22.7%,5.8%,-18.6%,-6.0%,18.3%,34.0,39803.0,Health Care,10.0,62.5,0.8,3.0,364764.0,0.2,,,,,,,,,,,,,
614,bloomin'brands,"$4,126.4",-2.1%,$107.1,6.8%,"$2,464.8","$1,873.9",-31,"93,000",-,David J. Deno,Chief Executive Officer &amp; Director,"Hotels, Restaurants &amp; Leisure",Food Services,"Tampa, Fla.",,-,"93,000","$4,126.4",-2.1%,$107.1,6.8%,"$2,464.8",-,$45.7,-,2.6%,4.3%,234.2%,1.14,12.9%,-6.9%,-,-14.7%,-4.6%,-,,,,,,,,,,,,,,,,,,,,,,
615,buckeyepartners,"$4,108.3",12.6%,$-59.0,-112.3%,"$9,355.6","$5,460.6",23,"1,850",-,Clark C. Smith,"Chairman, President &amp; Chief Executive Officer",Energy,Pipelines,"Houston, Texas",,-,"1,850","$4,108.3",12.6%,$-59.0,-112.3%,"$9,355.6",-,"$4,120.1",-,-1.4%,-0.6%,-1.4%,-0.41,-112.3%,-,-,-34.2%,-9.5%,-,,,,,,,,,,,,,,,,,,,,,,
616,inglesmarkets,"$4,092.8",2.3%,$97.4,80.7%,"$1,824.9",$559.6,-16,"17,940",-,James W. Lanning,"President, Chief Executive Officer &amp; Director",Food &amp; Drug Stores,Food and Drug Stores,"Black Mountain, N.C.",,-,"17,940","$4,092.8",2.3%,$97.4,80.7%,"$1,824.9",-,$595.4,-,2.4%,5.3%,16.4%,-,-,-,-,-19.7%,2.1%,7.9%,,,,,,,,,,,,,,,,,,,,,,
617,bemis,"$4,089.9",1.1%,$225.7,140.1%,"$3,571.0","$5,060.4",-21,"15,694",-,William F. Austen,"President, Chief Executive Officer &amp; Director",Materials,"Packaging, Containers","Neenah, Wis.",,-,"15,694","$4,089.9",1.1%,$225.7,140.1%,"$3,571.0",-,"$1,215.9",-,5.5%,6.3%,18.6%,2.47,142.2%,3.9%,4.1%,-1.3%,4.9%,9.9%,,,,,,,,,,,,,,,,,,,,,,
618,snap-on,"$4,070.4",1.8%,$679.9,21.9%,"$5,373.1","$8,700.2",-17,"12,600",-,Nicholas T. Pinchuk,"Chairman, President &amp; Chief Executive Officer",Industrials,Industrial Machinery,"Kenosha, Wis.",,-,"12,600","$4,070.4",1.8%,$679.9,21.9%,"$5,373.1",-,"$3,098.8",-,16.7%,12.7%,21.9%,11.87,24.7%,14.9%,11.3%,-14.8%,7.6%,16.4%,303.0,9633.0,Industrials,10.0,62.5,0.9,7.5,240530.0,0.2,,,,,,,,,,,,,
619,scana,"$4,052.0",-8.1%,$-528.0,-,"$17,654.0",-,-56,"5,200",-,P. Rodney Blevins,"President, Chief Executive Officer &amp; Director",Energy,,"Cayce, S.C.",,-,"5,200","$4,052.0",-8.1%,$-528.0,-,"$17,654.0",-,"$4,602.0",-,-13.0%,-3.0%,-11.5%,-3.7,-,-,-,24.8%,4.3%,7.5%,452.0,8463.0,Utilities,10.0,59.5,0.9,12.0,185500.0,0.1,,,,,,,,,,,,,
620,alleghenytechnologies,"$4,046.6",14.8%,$222.4,-,"$5,501.8","$3,224.6",42,"8,800",-,Robert S. Wetherbee,"President, Chief Executive Officer &amp; Director",Materials,Metals,"Pittsburgh, Pa.",,-,"8,800","$4,046.6",14.8%,$222.4,-,"$5,501.8",-,"$1,885.7",-,5.5%,4.0%,11.8%,1.61,-,2.3%,-11.8%,-9.8%,-8.3%,-0.0%,,,,,,,,,,,,,,,,,,,,,,
621,olddominionfreightline,"$4,043.7",20.4%,$605.7,30.6%,"$3,545.3","$11,716.8",67,"21,279",-,Greg C. Gantt,"President, Chief Executive Officer &amp; Director",Transportation,"Trucking, Truck Leasing","Thomasville, N.C.",,-,"21,279","$4,043.7",20.4%,$605.7,30.6%,"$3,545.3",-,"$2,680.5",-,15.0%,17.1%,22.6%,7.38,31.1%,25.3%,24.6%,-5.8%,18.6%,25.7%,,,,,,,,,,,,,,,,,,,,,,
622,kla-tencor,"$4,036.7",16.0%,$802.3,-13.4%,"$5,619.4","$19,543.1",44,"6,550",-,Richard P. Wallace,"President, Chief Executive Officer &amp; Director",Technology,Semiconductors and Other Electronic Components,"Milpitas, Calif.",,-,"6,550","$4,036.7",16.0%,$802.3,-13.4%,"$5,619.4",-,"$1,620.5",-,19.9%,14.3%,49.5%,5.1,-13.3%,9.7%,10.1%,-12.6%,14.6%,21.0%,195.0,10467.0,Information Technology,11.0,66.0,0.91,8.0,267040.0,0.09,,,,,,,,,,,,,
623,americaneagleoutfitters,"$4,035.7",6.3%,$261.9,28.3%,"$1,903.4","$3,826.2",-2,"27,000",-,Jay L. Schottenstein,Chairman &amp; Chief Executive Officer,Retailing,,"Pittsburgh, Pa.",,-,"27,000","$4,035.7",6.3%,$261.9,28.3%,"$1,903.4",-,"$1,287.6",-,6.5%,13.8%,20.3%,1.47,30.1%,27.9%,5.5%,5.4%,9.6%,12.0%,,,,,,,,,,,,,,,,,,,,,,
624,nexeosolutions,"$4,034.2",10.9%,$29.4,104.2%,"$2,243.6",-,18,"2,760",-,David A. Bradley,Chief Executive Officer &amp; Director,Wholesalers,,"The Woodlands, Texas",,-,"2,760","$4,034.2",10.9%,$29.4,104.2%,"$2,243.6",-,$814.5,-,0.7%,1.3%,3.6%,0.38,100.0%,-,-,-5.6%,-,-,,,,,,,,,,,,,,,,,,,,,,
625,totalsystemservices,"$4,028.2",-18.3%,$576.7,-1.6%,"$7,468.7","$16,854.9",-97,"13,100",-,M. Troy Woods,"Chairman, President &amp; Chief Executive Officer",Business Services,Financial Data Services,"Columbus, Ga.",,-,"13,100","$4,028.2",-18.3%,$576.7,-1.6%,"$7,468.7",-,"$2,585.9",-,14.3%,7.7%,22.3%,3.14,-0.6%,19.5%,9.5%,3.4%,20.6%,20.8%,418.0,9650.0,Information Technology,14.0,67.5,0.57,22.5,208107.0,0.07,,,,,,,,,,,,,
